판정번호,HSKCD,제품명,모델명(설명),규격,판정일,결과
SELF-2025-0001,8517.13-0000,갤럭시 S24 울트라 스마트폰,SM-S928N,256GB/12GB,2025-03-10,비해당
SELF-2025-0050,8517.13-0000,갤럭시 S24 스마트폰,SM-S921N,256GB/8GB,2025-06-30,해당
SELF-2023-0123,8517.13-0000,갤럭시 A54 스마트폰,SM-A546N,128GB/6GB,2023-12-01,비해당
TEST-SELF-2025-001,8517.13-0000,시뮬레이션용 스마트폰,TEST-PHONE-01,256GB/8GB,2025-09-15,해당
TEST-SELF-2025-002,8471.30-0000,시뮬레이션용 태블릿,TEST-TABLET-01,14인치/512GB,2025-10-03,비해당
TEST-SELF-2025-003,8518.40-0000,시뮬레이션용 오디오 증폭기,TEST-AUDIO-01,정격출력 100W,2025-11-11,비해당
TEST-SELF-2025-004,8504.40-0000,시뮬레이션용 전원공급기,TEST-POWER-01,입력 220V/출력 24V,2025-08-08,해당
TEST-SELF-2025-005,8413.70-0000,시뮬레이션용 원심펌프,TEST-PUMP-01,유량 60L/min,2025-07-21,비해당
TEST-SELF-2025-006,8421.21-0000,시뮬레이션용 정수필터,TEST-FILTER-01,처리량 2t/h,2025-12-05,비해당
TEST-SELF-2026-007,9018.20-0000,시뮬레이션용 의료기기,TEST-MEDICAL-01,광원 출력 20W,2026-01-16,해당
TEST-SELF-2026-008,9999.99-0000,시뮬레이션용 일반 소모품,TEST-CLEAR-01,실리콘 재질,2026-02-02,비해당
TEST-SELF-2026-009,1234.56-0000,시뮬레이션용 일반 부품,TEST-CLEAR-02,알루미늄 재질,2026-03-12,비해당
TEST-SELF-2022-010,8517.13-0000,시뮬레이션용 만료 스마트폰,TEST-EXPIRED-01,128GB/6GB,2022-04-04,해당
TEST-SELF-2023-011,8457.10-0000,시뮬레이션용 만료 머시닝센터,TEST-EXPIRED-02,3축/10kW,2023-01-20,비해당
TEST-SELF-2023-012,8517.13-0000,시뮬레이션용 복수이력 통신기기,TEST-MULTI-01,구형 사양,2023-05-10,비해당
TEST-SELF-2025-013,8537.10-0000,시뮬레이션용 최신이력 제어반,TEST-LATEST-01,구형 판정 사양,2025-01-15,비해당
TEST-SELF-2025-014,8481.80-0000,시뮬레이션용 산업용 밸브,TEST-MIX-A,구경 25mm,2025-04-18,비해당
TEST-SELF-2025-015,3814.00-0000,시뮬레이션용 세정제,TEST-MIX-B,수용성 1L,2025-05-22,해당
